# Session ID: 20250816_085346
# Device ID: watch_1
# Start Time: 1755327226194
# Sample Count: 2141
# Generated by Watch IMU Recorder
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,watch_name
12302215663212,1.5984055,3.7459638,9.008379,0.0036651888,-0.0030543238,-0.038331766,96.825005,72.675,94.8375,watch_1
12302202825973,1.6223338,3.6598222,9.01795,-0.05253437,-0.0030543238,-0.02611447,96.825005,72.675,94.8375,watch_1
12302207788733,1.6223338,3.6598222,9.01795,-0.05253437,-0.0030543238,-0.02611447,96.825005,72.675,94.8375,watch_1
12302225663160,1.6223338,3.6598222,9.01795,-0.05253437,-0.0030543238,-0.02611447,96.65626,68.4,95.53125,watch_1
12302235663108,1.6223338,3.6598222,9.01795,-0.05253437,-0.0030543238,-0.02611447,94.59375,70.293755,93.65625,watch_1
12302226861702,1.5218352,3.5593238,9.061021,-0.046425723,-0.0042760535,-0.020005822,94.59375,70.293755,93.65625,watch_1
12302221898941,1.5218352,3.5593238,9.061021,-0.046425723,-0.0042760535,-0.020005822,94.59375,70.293755,93.65625,watch_1
12302245663056,1.5218352,3.5593238,9.061021,-0.046425723,-0.0042760535,-0.020005822,94.068756,67.912506,95.71875,watch_1
12302255663004,1.5218352,3.5593238,9.061021,-0.046425723,-0.0042760535,-0.020005822,96.225006,70.387505,92.662506,watch_1
12302245935712,1.5218352,3.286542,8.927023,-0.046425723,-0.0042760535,-0.020005822,96.225006,70.387505,92.662506,watch_1
12302240972952,1.5218352,3.286542,8.927023,-0.015882485,-0.010384701,-0.02367101,96.225006,70.387505,92.662506,watch_1
12302265662952,1.5218352,3.286542,8.927023,-0.015882485,-0.010384701,-0.02367101,95.175,69.9,95.2125,watch_1
12302260045973,1.4596218,3.2626138,8.903095,0.07086031,-0.0018325944,-0.038331766,94.950005,72.1875,92.925,watch_1
12302275662900,1.4596218,3.2626138,8.903095,0.07086031,-0.0018325944,-0.038331766,94.950005,72.1875,92.925,watch_1
12302265008733,1.4596218,3.2626138,8.903095,0.07086031,-0.0018325944,-0.038331766,94.950005,72.1875,92.925,watch_1
12302285662848,1.4596218,3.2626138,8.903095,0.07086031,-0.0018325944,-0.038331766,93.693756,70.3125,93.24375,watch_1
12302284082691,1.4739788,3.463611,9.027522,0.13805544,0.009162972,-0.0481056,94.6875,71.30625,92.53125,watch_1
12302295662796,1.4739788,3.463611,9.027522,0.13805544,0.009162972,-0.0481056,94.6875,71.30625,92.53125,watch_1
12302279119931,1.4739788,3.463611,9.027522,0.13805544,0.009162972,-0.0481056,94.6875,71.30625,92.53125,watch_1
12302305662743,1.4739788,3.463611,9.027522,0.13805544,0.009162972,-0.0481056,94.443756,70.425,92.7375,watch_1
12302298192952,1.5122639,3.7459638,9.223733,0.12950334,0.01527162,-0.05299252,94.443756,70.425,92.7375,watch_1
12302303155712,1.5122639,3.7459638,9.223733,0.12950334,0.01527162,-0.05299252,94.443756,70.425,92.7375,watch_1
12302315662691,1.5122639,3.7459638,9.223733,0.12950334,0.01527162,-0.05299252,94.6125,71.850006,93.20625,watch_1
12302325662639,1.5122639,3.7459638,9.223733,0.12950334,0.01527162,-0.05299252,96.18751,71.2125,93.3,watch_1
12302322198733,1.5170496,3.8847475,9.324232,0.12950334,0.01527162,-0.05299252,96.18751,71.2125,93.3,watch_1
12302317235973,1.5170496,3.8847475,9.324232,0.019547673,0.007941242,-0.045662142,96.18751,71.2125,93.3,watch_1
12302335662587,1.5170496,3.8847475,9.324232,0.019547673,0.007941242,-0.045662142,96.506256,72.637505,94.068756,watch_1
